;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
LP65107814;0,0;0,0;1,15;0,0;0,0;0,0;3,9700000000000006;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0
LP65109754;0,0;0,0;9,98;0,0;0,0;0,0;44,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,92;0,0;0,0;0,0;0,0;0,0
LP65109760;0,0;0,0;9,98;0,0;0,0;0,0;44,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,92;0,0;0,0;0,0;0,0;0,0
LP65109762;0,0;0,0;9,98;0,0;0,0;0,0;44,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,92;0,0;0,0;0,0;0,0;0,0
LP65110476;0,0;0,0;26,22;64,56;0,0;0,0;0,0;0,0;1,05;0,0;0,0;0,0;0,0;0,0;0,0;1,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,96;0,0;0,0;0,0;0,0;0,0
LP65111253;0,0;0,0;1,15;0,0;0,0;0,0;3,9700000000000006;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0
LP65114853;3,25;0,0;17,23;47,65;0,0;3,05;0,0;0,0;0,0;10,97;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,85;0,0;0,0;0,0;0,0;0,0
LP65114893;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;59,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,84;0,0;0,0;0,0;0,0;0,0
LP65115349;0,0;0,0;7,4214;50,8643;0,0;0,0;5,4191;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,9156;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,3796;0,0;0,0;0,0;0,0;0,0
LP65115385;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,1;0,0;1,9;0,0;0,0;0,0
LP65116859;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,1;0,0;1,9;0,0;0,0;0,0
LP65118662;0,0;0,0;0,0;0,0;0,0;0,0;20,8766;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,15650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9669;0,0;0,0;0,0;0,0;0,0
LP65119947;0,0;0,0;0,0;0,0;0,0;0,0;7,709999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,71;1,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,22;0,0;0,0;0,0;0,0;0,0
LP65119969;0,0;0,0;1,19;0,0;0,0;0,0;47,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;49,65;0,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,06;0,0;0,0;0,0;0,0;0,0
LP65121508;0,0;0,0;2,68;4,01;0,0;0,0;0,0;0,0;0,0;3,85;0,0;0,0;0,0;0,0;46,68;0,0;1,25;0,0;0,0;0,0;0,0;3,96;9,54;11,47;0,0;0,0;0,0;0,0;11,23;5,33;0,0;0,0;0,0;0,0;0,0
LP65121616;0,0;0,0;0,0;0,0;0,0;0,0;18,6891;1,8093;0,0;6,9587;2,0478;0,0;0,0;0,0;70,49510000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP65121755;0,0;0,0;4,47;3,25;0,0;0,0;2,9299999999999997;0,0;0,0;0,88;1,28;0,0;0,0;0,0;86,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,89;0,0;0,0;0,0;0,0;0,0
LP65123932;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,1;0,0;1,9;0,0;0,0;0,0
LP65124933;0,0;0,0;29,49;65,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,5;0,0;0,0;0,0;0,0;0,0
LP65125928;0,0;0,0;0,2;0,0;0,0;0,0;2,9000000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
LP65126377;0,0;0,0;0,0;0,0;0,0;0,0;84,33;2,1;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,17;0,0;0,0;0,0;0,0;0,0
LP65126379;0,0;0,0;0,0;0,0;0,0;0,0;95,28999999999999;2,09;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,62;0,0;0,0;0,0;0,0;0,0
LP65126622;0,0;0,0;0,0;2,06;0,0;0,0;2,7399999999999998;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,67;0,0;0,0;0,0;0,0;0,0
LP65126928;0,0;0,0;0,0;11,76;0,0;0,0;12,129999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;71,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,09;0,0;0,0;0,0;0,0;0,0
LP65132206;0,0;0,0;0,2;0,0;0,0;0,0;2,9000000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
LP65134104;0,0;0,0;0,0;0,99;0,0;0,0;5,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,38;0,0;0,0;0,0;0,0;0,0
LP65134119;0,0;0,0;0,0;0,0;0,0;0,0;33,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,3;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;0,0;0,0;0,0;0,0;0,0
LP65134124;2,56;0,0;14,92;63,040000000000006;0,0;0,0;0,0;0,0;0,0;5,24;0,0;3,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,56;0,0;0,0;0,0;0,0;0,0
LP65134125;2,56;0,0;14,92;63,040000000000006;0,0;0,0;0,0;0,0;0,0;5,24;0,0;3,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,56;0,0;0,0;0,0;0,0;0,0
LP65134185;0,0;0,0;0,0;0,0;0,0;0,0;24,330000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,31;0,0;0,0;0,0;0,0;0,0
LP65134188;0,0;5,4;0,0;25,29;19,6;0,0;0,0;3,85;14,329999999999998;5,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,659999999999997;0,0;0,0;0,0;0,0;0,0
LP65137258;0,0;0,0;0,8577;0,0;0,0;0,0;7,4789;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,4377;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2257;0,0;0,0;0,0;0,0;0,0
LP65137283;0,0;0,0;12,28;74,3;10,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,96;0,0;0,0;0,0;0,0;0,0
LP65137371;0,0;0,0;0,0;6,6;0,0;0,0;34,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;58,599999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP65137372;0,0;0,0;0,0;6,6;0,0;0,0;34,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;58,599999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP65137556;0,0;0,0;4,63;4,28;0,0;0,0;21,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,08;0,0;0,0;0,0;0,0;0,0
LP65137755;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,1;0,0;1,9;0,0;0,0;0,0
LP65137789;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,1;0,0;1,9;0,0;0,0;0,0
LP65137821;0,0;0,0;0,0;0,0;0,0;0,0;79,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,8100000000000005;0,0;0,0;0,0;0,0;0,0
LP65138051;0,0;0,0;0,0;0,0;0,0;0,0;9,57;0,0;0,0;0,0;6,29;0,0;0,0;0,0;81,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,13;0,0;0,0;0,0;0,0;0,0
LP65138052;0,0;0,0;0,0;0,0;0,0;0,0;9,57;0,0;0,0;0,0;6,29;0,0;0,0;0,0;81,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,13;0,0;0,0;0,0;0,0;0,0
LP65138111;0,0;0,0;1,72;0,0;0,0;0,0;24,150000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;65,21000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,92;0,0;0,0;0,0;0,0;0,0
LP65143917;0,0;0,0;0,0;0,0;0,0;0,0;1,32;0,0;0,0;0,0;4,83;0,0;0,0;0,0;92,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,69;0,0;0,0;0,0;0,0;0,0
LP65144423;6,74;0,0;29,79;39,08;0,0;0,0;0,0;2,38;0,0;11,39;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,62;0,0;0,0;0,0;0,0;0,0
LP65145295;0,0;0,0;0,0;0,0;0,0;0,0;86,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,84;0,0;0,0;0,0;0,0;0,0
LP65145513;0,0;0,0;0,0;0,0;0,0;0,0;98,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,12;0,0;0,0;0,0;0,0;0,0
LP65145565;0,0;0,0;0,0;0,0;0,0;0,0;1,32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP65145595;0,0;0,0;0,0;0,0;0,0;0,0;91,88999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,11;0,0;0,0;0,0;0,0;0,0
LP65145597;0,0;0,0;0,0;0,0;0,0;0,0;91,88999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,11;0,0;0,0;0,0;0,0;0,0
LP65145598;0,0;0,0;0,0;0,0;0,0;0,0;91,88999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,11;0,0;0,0;0,0;0,0;0,0
LP65145599;0,0;0,0;0,0;0,0;0,0;0,0;91,88999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,11;0,0;0,0;0,0;0,0;0,0
LP65146293;0,0;0,0;12,28;74,3;10,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,96;0,0;0,0;0,0;0,0;0,0
LP65149540;0,0;0,0;15,3;0,0;0,0;0,0;53,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,2;0,0;0,0;0,0;0,0;0,0
LP65149547;0,0;0,0;0,0;0,0;0,0;0,0;27,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,5;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;0,0;0,0
LP65149549;0,0;0,0;0,0;0,0;0,0;0,0;27,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,5;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;0,0;0,0
LP65149672;0,0;0,0;20,77;75,9;1,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,11;0,0;0,0;0,0;0,0;0,0
LP65149673;0,0;0,0;0,0;0,0;0,0;0,0;86,64999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,75;0,0;0,0;0,0;0,0;0,0
LP65149850^J19;0,0;0,0;0,0;98,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,18;0,0;0,0;0,0;0,0;0,0
LP65154999;0,0;0,0;0,0;0,0;0,0;0,0;31,740000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;50,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,35;0,0;0,0;0,0;0,0;0,0
LP67008163;0,0;0,0;24,22;8,58;0,0;0,0;15,389999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,37;0,0;0,0;0,0;0,0;0,0
LP67013512;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51,74;0,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;47,26;0,0;0,0;0,0;0,0;0,0
LP68011305;0,0;0,0;0,0;0,0;0,0;0,0;79,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,8100000000000005;0,0;0,0;0,0;0,0;0,0
LP68012540;0,0;0,0;0,0;0,0;0,0;0,0;66,7034;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,7485;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,5481;0,0;0,0;0,0;0,0;0,0
LP68013137;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68014674;0,0;0,0;4,24;8,48;0,0;19,35;3,5300000000000002;0,0;0,0;2,85;0,0;0,0;0,0;0,0;35,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,4;0,0;0,0;0,0;0,0;0,0
LP68014719;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68015805;0,0;0,0;0,0;0,0;0,0;0,0;1,4100000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,02000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,57;0,0;0,0;0,0;0,0;0,0
LP68015806;0,0;0,0;0,0;0,0;0,0;0,0;1,4100000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,02000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,57;0,0;0,0;0,0;0,0;0,0
LP68015809;0,0;0,0;0,0;22,09;0,0;5,13;0,0;0,0;0,0;21,7;0,0;0,0;0,0;0,0;4,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;46,86;0,0;0,0;0,0;0,0;0,0
LP68016783;0,0;0,0;2,2;0,0;0,0;0,0;8,3;0,0;0,0;1,6;0,0;0,0;0,0;0,0;75,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;1,1;0,0
LP68017374;0,0;0,0;0,0;0,0;0,0;0,0;2,2575000000000003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,034100000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;79,7084;0,0;0,0;0,0;0,0;0,0
LP68017520;2,0422;0,0;5,2722;0,0;0,0;0,0;28,4286;0,0;0,0;6,8871;0,0;0,0;0,0;0,0;55,39600000000001;1,9739;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68019794;0,0;0,0;0,0;0,0;0,0;0,0;2,2575000000000003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,034100000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;79,7084;0,0;0,0;0,0;0,0;0,0
LP68020133;3,22;0,0;15,34;58,05;0,0;0,0;0,0;2,14;0,0;4,59;0,0;3,78;0,0;0,0;2,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,11;0,0;0,0;0,0;0,0;0,0
LP68020134;3,22;0,0;15,34;58,05;0,0;0,0;0,0;2,14;0,0;4,59;0,0;3,78;0,0;0,0;2,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,11;0,0;0,0;0,0;0,0;0,0
LP68021988;0,0;0,0;0,0;10,7995;0,0;0,0;22,296799999999998;0,0;2,6769;7,097200000000001;0,0;0,0;0,0;0,0;27,9893;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,1403;0,0;0,0;0,0;0,0;0,0
LP68022241;0,0;0,0;99,68;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,28;0,0;0,0;0,0;0,0;0,0
LP68022987;0,0;0,0;3,11;0,0;0,0;0,0;28,499999999999996;0,0;0,0;0,0;0,0;0,0;0,0;0,0;63,86000000000001;1,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,27;0,0;0,0;0,0;0,0;0,0
LP68026049;0,0;0,0;4,63;4,28;0,0;0,0;21,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,08;0,0;0,0;0,0;0,0;0,0
LP68026589;0,0;0,0;0,0;0,0;0,0;0,0;91,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,24;0,0;0,0;0,0;0,0;0,0
LP68027488;0,0;0,0;0,0;6,6;0,0;0,0;34,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;58,599999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68029541;0,0;0,0;0,0;0,0;0,0;0,0;45,199999999999996;2,1;0,0;0,0;0,0;0,0;0,0;0,0;37,2;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,6;0,0;0,0;0,0;0,0;0,0
LP68030021;0,0;0,0;0,8577;0,0;0,0;0,0;7,4789;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,4377;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2257;0,0;0,0;0,0;0,0;0,0
LP68030534;0,0;0,0;10,77;11,01;0,0;0,0;3,3499999999999996;0,0;0,0;0,0;0,0;0,0;0,0;0,0;68,84;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,03;0,0;0,0;0,0;0,0;0,0
LP68031665;0,0;0,0;0,0;0,0;0,0;0,0;8,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;91,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68032667;0,0;0,0;0,0;0,0;0,0;0,0;3,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,48;0,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,75;0,0;0,0;0,0;0,0;0,0
LP68032731;0,0;0,0;7,05;3,84;0,0;0,0;30,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,65;0,0;0,0;0,0;0,0;0,0
LP68035533;0,0;0,0;0,0;0,0;0,0;0,0;20,8766;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,15650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9669;0,0;0,0;0,0;0,0;0,0
LP68035995;0,0;0,0;2,5;0,0;0,0;0,0;35,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;43,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,2;0,0;0,0;0,0;0,0;0,0
LP68036021;0,0;0,0;43,96;52,29;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,33;0,0;0,0;0,0;0,0;0,0
LP68036072;0,0;0,0;0,2;0,0;0,0;0,0;2,9000000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
LP68036262;0,0;0,0;2,9;0,0;0,0;0,0;27,709999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;68,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,45;0,0;0,0;0,0;0,0;0,0
