;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
BCAT.K;0,0;0,0;0,0;2,24;0,0;0,0;13,95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,16;0,0;0,0;0,0;0,0;0,0
BCHS.L;0,0;0,0;19,79;5,09;0,0;0,0;2,79;0,0;0,0;2,49;2,62;0,0;0,0;0,0;59,66;6,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,34;0,0;0,0;0,0;0,0;0,0
BETZ.K;0,0;0,0;0,0;0,0;0,0;0,0;43,54;5,19;0,0;0,0;0,0;0,0;0,0;0,0;34,589999999999996;10,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,69;0,0;0,0;0,0;0,0;0,0
BIL;0,0;0,0;0,0;0,0;0,0;0,0;0,0023;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,9376;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0601;0,0;0,0;0,0;0,0;0,0
BITO.K;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,82;0,0;0,0;0,0;0,0;0,0
BKLN.K;0,0;0,0;0,0;0,0;0,0;0,0;2,7584999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,3127;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,9288;0,0;0,0;0,0;0,0;0,0
BLOK.K;0,0;0,0;7,6899999999999995;1,17;0,0;0,0;1,31;0,0;0,0;2,59;1,92;0,0;0,0;0,0;77,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,76;0,0;0,0;0,0;0,0;0,0
BMEZ.K;0,0;0,0;1,04;2,94;0,0;0,0;13,870000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;74,66;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,49;0,0;0,0;0,0;0,0;0,0
BOTZ.O;0,0;0,0;29,77;8,58;0,0;0,0;13,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;47,660000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,35;0,0;0,0;0,0;0,0;0,0
BRF;0,0;0,0;1,23;0,0;0,0;0,36;0,22;0,0;0,0;90,14;1,92;0,0;0,0;0,0;4,64;1,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,0
